WBGene00050882	Cbn-fem-2	CBN01236	CBN01236	Coding_transcript	Caenorhabditis brenneri
WBGene00138726	""	CBN00001	CBN00001	Coding_transcript	Caenorhabditis brenneri
WBGene00138727	""	CBN00002	CBN00002	Coding_transcript	Caenorhabditis brenneri
WBGene00138728	""	CBN00003	CBN00003	Coding_transcript	Caenorhabditis brenneri
WBGene00138729	""	CBN00004	CBN00004	Coding_transcript	Caenorhabditis brenneri
WBGene00138730	""	CBN00005	CBN00005	Coding_transcript	Caenorhabditis brenneri
WBGene00138731	""	CBN00006	CBN00006	Coding_transcript	Caenorhabditis brenneri
WBGene00138732	Cbn-ets-6	CBN00007	CBN00007	Coding_transcript	Caenorhabditis brenneri
WBGene00138733	""	CBN00008	CBN00008	Coding_transcript	Caenorhabditis brenneri
WBGene00138734	""	CBN00009	CBN00009	Coding_transcript	Caenorhabditis brenneri
WBGene00138735	""	CBN00010	CBN00010	Coding_transcript	Caenorhabditis brenneri
WBGene00138736	""	CBN00011	CBN00011	Coding_transcript	Caenorhabditis brenneri
WBGene00138737	""	CBN00012	CBN00012	Coding_transcript	Caenorhabditis brenneri
WBGene00138738	""	CBN00013	CBN00013	Coding_transcript	Caenorhabditis brenneri
WBGene00138739	""	CBN00014	CBN00014	Coding_transcript	Caenorhabditis brenneri
WBGene00138740	""	CBN00015	CBN00015	Coding_transcript	Caenorhabditis brenneri
WBGene00138742	""	CBN00017	CBN00017	Coding_transcript	Caenorhabditis brenneri
WBGene00138743	""	CBN00018	CBN00018	Coding_transcript	Caenorhabditis brenneri
WBGene00138744	""	CBN00019	CBN00019	Coding_transcript	Caenorhabditis brenneri
WBGene00138745	""	CBN00020	CBN00020	Coding_transcript	Caenorhabditis brenneri
WBGene00138746	Cbn-pas-1	CBN00021	CBN00021	Coding_transcript	Caenorhabditis brenneri
WBGene00138747	""	CBN00022	CBN00022	Coding_transcript	Caenorhabditis brenneri
WBGene00138748	""	CBN00023	CBN00023	Coding_transcript	Caenorhabditis brenneri
WBGene00138749	""	CBN00024	CBN00024	Coding_transcript	Caenorhabditis brenneri
WBGene00138750	""	CBN00025	CBN00025	Coding_transcript	Caenorhabditis brenneri
WBGene00138751	""	CBN00026	CBN00026	Coding_transcript	Caenorhabditis brenneri
WBGene00138752	Cbn-rpl-14	CBN00027	CBN00027	Coding_transcript	Caenorhabditis brenneri
WBGene00138753	""	CBN00028	CBN00028	Coding_transcript	Caenorhabditis brenneri
WBGene00138754	""	CBN00029	CBN00029	Coding_transcript	Caenorhabditis brenneri
WBGene00138755	Cbn-nmy-2	CBN00030	CBN00030	Coding_transcript	Caenorhabditis brenneri
WBGene00138756	""	CBN00031	CBN00031	Coding_transcript	Caenorhabditis brenneri
WBGene00138757	""	CBN00032	CBN00032	Coding_transcript	Caenorhabditis brenneri
WBGene00138758	""	CBN00033	CBN00033	Coding_transcript	Caenorhabditis brenneri
WBGene00138760	""	CBN00035	CBN00035	Coding_transcript	Caenorhabditis brenneri
WBGene00138761	Cbn-tbc-12	CBN00036	CBN00036	Coding_transcript	Caenorhabditis brenneri
WBGene00138762	""	CBN00037	CBN00037	Coding_transcript	Caenorhabditis brenneri
